LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Albuquerque, NM","$500,000",Community Aid,Arts And Culture,"Provide a venue, support services, compensation for performance(s) and outreach opportunities to artists, scholars and cultural workers across creative disciplines.",Negative Economic Impacts,Aid to Nonprofit Organizations,Albuquerque,NM
"Albuquerque, NM","$4,200,000",Community Aid,Direct Payments Or Subsidies,"The Community Impact Fund will provide direct cash transfers to low-to-moderate income households in the amount of $1,000 per household who were negatively impacted by the COVID-19 pandemic. The contracted program administrator will host application and program platform website; accept, review and process applications; staff a help line for questions; provide notifications to grant applicants and status of application; distribute all funds to approved grant awardees; and provide all necessary reports.",Negative Economic Impacts,Household Assistance: Cash Transfers,Albuquerque,NM
"Albuquerque, NM","$7,500,000",Economic And Workforce Development,Small Business Support,"The Small Business + Entrepreneurial Recovery Grant Program is a new economic relief grant program available to local small businesses and non-profits. The $7.5 million program is funded through the American Rescue Plan Act. Applications will open August 4, 2021, for the one-time grants of $10,000 for businesses within Albuquerque city limits negatively impacted by the COVID-19 pandemic that have 50 employees or fewer, and meet other grant criteria.",Negative Economic Impacts,Small Business Economic Assistance (General),Albuquerque,NM
"Albuquerque, NM","$3,000,000",Government Operations Investments,Government Employee Wages Or Hiring,One-time premium pay to essential city employees,Premium Pay,Public Sector Employees,Albuquerque,NM
"Albuquerque, NM","$210,000",Government Operations Investments,Government Employee Wages Or Hiring,"The City selected a contractor to provide consulting services to support the effective management and oversight of the ARPA funds, including consultation for ensuring compliance with legal, regulatory and other requirements. Additional projects may be added to this category. The consultant will be responsible for the following tasks:",Administrative,Evaluation and Data Analysis,Albuquerque,NM
"Albuquerque, NM","$5,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Develop, construct, reconstruct, renovate, rehabilitate, modernize and otherwise improve APD’s main headquarters. Overall, the mechanical and other facility upgrades will include but not be limited to the heating, cooling, electrical, windows, doors, and controls to improve building efficiencies. The request for bid is to improve the main APD facility.",Public Health,Capital Investments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Albuquerque,NM
"Albuquerque, NM","$5,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Develop, construct, reconstruct, renovate, rehabilitate, modernize and otherwise improve the facilities at Pino Yards. Overall, the mechanical and other facility upgrades will include but not be limited to the heating, cooling, electrical, windows, doors, and controls to improve building efficiencies. A request for bid submitted to improve the facilities at Pino Yards.",Public Health,Capital Investments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Albuquerque,NM
"Albuquerque, NM","$1,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Install Ultra-Violet air purifications system in City-owned Community, Senior/Multigenerational Centers, including the City of Albuquerque Convention Center, for cleaner airflow",Public Health,Capital Investments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Albuquerque,NM
"Albuquerque, NM","$1,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Renovation of space at our City Health & Social Service Centers. Construction. A Request for Bids will be issued and/or utilize the City’s contracted On-Call contractors to plan, design and renovate space at the Health & Social Services Centers.",Public Health,Other Public Health Services,Albuquerque,NM
"Albuquerque, NM","$4,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Reroof a portion of the East Convention Center Building. The East Convention Center Building has approximately 185,000 GSF of total roof area. This project will remove a portion of the existing roof and install new insulation and underlayment products along with a new roofing system.",Public Health,Other Public Health Services,Albuquerque,NM
"Albuquerque, NM","$2,200,000",Housing,Affordable Housing,"The Metropolitan Redevelopment Agency (MRA) will release Requests for Proposals to build new housing or to redevelop existing buildings into housing (such as Office-to Residential conversions) in the Downtown and Railroad Metropolitan Redevelopment Area. MRA will offer $2.2M in grants to offset increased costs of developing housing due to increased construction costs that were caused by COVID-19 related supply chain and labor disruptions. The development industry was negatively impacted by COVID-19. Supply chain and labor force disruptions have led to escalating construction costs. This in turn has slowed down the development of new housing and resulted in skyrocketing rents and housing prices. High vacancy rates for multi-tenant office buildings caused by temporary and permanent work-from-home procedures necessitated by COVID-19 have also impacted the commercial real estate industry. Office-to-residential conversions are often cost prohibitive, resulting in vacant, dilapidated, and obsolete buildings that further depress economic growth in Downtowns.",Negative Economic Impacts,Aid to Other Impacted Industries,Albuquerque,NM
"Albuquerque, NM","$240,000",Housing,Eviction Prevention,"The projects under this program require emergency procurement of sub-recipient agreements with New Mexico Legal Aid (“NMLA”) and New Mexico Immigrant Law Center (“NMILC”) to provide civil legal services to renters facing eviction due to COVID-19. The program also provides Emergency Rental Assistance application support for renters in eviction proceedings before Bernalillo County Metropolitan Court judges and coordinate pro bono eviction prevention clinics for Albuquerque tenants. This project will increase housing stability for Albuquerque’s vulnerable populations by expanding capacity to provide civil legal services Albuquerque renters, ERAP Application support at Metro Court, and eviction prevention pro bono clinic coordination.",Negative Economic Impacts,Household Assistance: Eviction Prevention,Albuquerque,NM
"Albuquerque, NM","$250,000",Housing,Homelessness,Provide housing vouchers and case management services for 30 households (adults and children).,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Albuquerque,NM
"Albuquerque, NM","$750,000",Housing,Homelessness,"Provides housing vouchers to families and individuals experiencing homelessness. Participants in the RRH program will receive rental assistance (e.g. housing vouchers) and case management services for up two (2) years, which will help participants become self-sufficient and maintain housing on their own.",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Albuquerque,NM
"Albuquerque, NM","$3,300,000",Housing,Other Housing,"Home repair and rehabilitation program for income-eligible homeowners within the Albuquerque city limits - Many home owners, specifically low-income homeowners, were financially burdened during the COVID-19 pandemic due to loss of jobs, decreased hours, unable to work due to COVID-19 diagnosis. Based on past experience with home repair and rehabilitation programs, it is evident that Albuquerque home owners require assistance when maintaining a safe and healthy home. By providing this type of assistance, home owners will be able to remain in their homes. Objective of program is to assist as many home owners as possible who have been disproportionately impacted by COVID-19 who require assistance in maintaining their home.",Services to Disproportionately Impacted Communities,Housing Support: Other Housing Assistance,Albuquerque,NM
"Albuquerque, NM","$1,000,000",Infrastructure,Other Infrastructure,Design and install street and alleyway lights within the downtown corridor to include everything between the railroad tracks to 8th Street and between Coal Avenue and Lomas Boulevard.,Public Health,Other Public Health Services,Albuquerque,NM
"Albuquerque, NM","$350,000",Infrastructure,Public Space,Currently parks have no fountains or they have a drinking fountain with no handwashing facilities. This project will provide handwashing stations in parks which will help decrease the transmission of COVID-19 and other infectious diseases. Installing 30 water fountain stations at 30 parks in Albuquerque. Water fountain stations have integral bottle filling stations and hand washing stations.,Public Health,Other Public Health Services,Albuquerque,NM
"Albuquerque, NM","$200,000",Infrastructure,Public Space,The City of Albuquerque system saw a steep increase in trail users due to more residents working from home. Encouragement from government to stay outside increased usage in parks and recreation.,Public Health,Other Public Health Services,Albuquerque,NM
"Albuquerque, NM","$150,000",Public Health,Covid Response,"Produce timely, credible and accessible information and updates regarding public services, COVID-19 resources, economic recovery programs and resources, public health orders/resources via press conferences, informational media, and educational programs. Disseminate information and updates through public access channels, ondemand TV, online streaming, website archives, and live streaming via City website.",Public Health,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Albuquerque,NM
"Albuquerque, NM","$500,000",Public Health,Covid Response,"Provides Public Health outreach, coordination and tracking. This includes but is not limited to: - Marketing to promote vaccination events to vulnerable populations in the community and costs associated to translate materials and distribution of materials, geo-fencing campaigns etc. - Staffing (Temp or City staff positions) to support information sharing/outreach - Coordination and collaboration with community and state partners on PH partnership opportunities etc. - Addressing other gaps in public health needs/materials/resources (food access, hygiene items, PPE, etc.) collection of vital social determinants of health data to drive service needs. - Purchase of a social service referral database platform for service coordination",Public Health,Other Public Health Services,Albuquerque,NM
"Albuquerque, NM","$20,000",Public Health,Other Public Health,"Public awareness and education campaign through digital media, social media, video and audio recordings in languages other than English, promoting City of Albuquerque programs and services that support healthy behaviors, such as use of public transit, use of child development and other youth programs, use of job training and other economic development programs.",Public Health,Other Public Health Services,Albuquerque,NM
"Albuquerque, NM","$3,000,000",Public Safety,Police Department,The purchase of vehicles for city police officers. The Department of Finance and Administrative Services “DFAS” will be responsible for the purchase of all vehicles.,Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Albuquerque,NM
